"Taxon","Genus","LFC","q_value","Significant","Robust"
"ASV_216","Lachnospiraceae UCG-001",3.0556611487041,0.997249052070718,FALSE,FALSE
"ASV_43","Coprococcus",2.99505182925828,0.959438702207671,FALSE,FALSE
"ASV_7","Bifidobacterium",2.71554445242864,0.959438702207671,FALSE,FALSE
"ASV_33","Dialister",-2.61187453771676,0.997249052070718,FALSE,FALSE
"ASV_8","Akkermansia",2.54194501606233,0.997249052070718,FALSE,FALSE
"ASV_66","Lachnospiraceae ND3007 group",-2.36782662566155,0.997249052070718,FALSE,FALSE
"ASV_116","Colidextribacter",2.06427366751572,0.997249052070718,FALSE,FALSE
"ASV_30","Erysipelotrichaceae UCG-003",1.93559140823434,0.997249052070718,FALSE,FALSE
"ASV_78","Lachnospira",1.92258510273803,0.997249052070718,FALSE,FALSE
"ASV_192","Paraprevotella",-1.69732922909262,0.997249052070718,FALSE,FALSE
"ASV_350","Negativibacillus",-1.577599117793,0.997249052070718,FALSE,FALSE
"ASV_374","Veillonella",-1.4481099930048,0.997249052070718,FALSE,FALSE
"ASV_590","[Clostridium] innocuum group",-1.43747819835915,0.997249052070718,FALSE,FALSE
"ASV_17","Bacteroides",-1.43601206280929,0.997249052070718,FALSE,FALSE
"ASV_225","Parabacteroides",-1.28449239284118,0.997249052070718,FALSE,FALSE
"ASV_24","Anaerostipes",1.19466412125413,0.997249052070718,FALSE,FALSE
"ASV_283","DTU089",-1.15570391424487,0.997249052070718,FALSE,FALSE
"ASV_9","Escherichia-Shigella",-1.1495592388931,0.997249052070718,FALSE,FALSE
"ASV_53","NK4A214 group",1.13077420336829,0.997249052070718,FALSE,FALSE
"ASV_166","Erysipelatoclostridium",-1.09070860284503,0.997249052070718,FALSE,FALSE
"ASV_19","Monoglobus",1.04855213523987,0.997249052070718,FALSE,FALSE
"ASV_193","Eggerthella",-0.958113754574864,0.997249052070718,FALSE,FALSE
"ASV_88","Christensenellaceae R-7 group",0.951390754718225,0.997249052070718,FALSE,FALSE
"ASV_94","Lachnoclostridium",0.928245194437471,0.997249052070718,FALSE,FALSE
"ASV_340","Lachnospiraceae UCG-010",0.921505734939415,0.997249052070718,FALSE,FALSE
"ASV_938","Flavobacterium",0.813984624990543,0.997249052070718,FALSE,FALSE
"ASV_4","Faecalibacterium",-0.8118140631109,0.997249052070718,FALSE,FALSE
"ASV_804","Oscillospira",0.792160822978886,0.997249052070718,FALSE,FALSE
"ASV_441","GCA-900066575",-0.724408446052108,0.997249052070718,FALSE,FALSE
"ASV_106","[Eubacterium] siraeum group",0.60401645270805,0.997249052070718,FALSE,FALSE
"ASV_176","Intestinibacter",-0.586574333887775,0.997249052070718,FALSE,FALSE
"ASV_40","Alistipes",0.57060045420403,0.997249052070718,FALSE,FALSE
"ASV_235","UCG-005",0.564288414180569,0.997249052070718,FALSE,FALSE
"ASV_278","Family XIII AD3011 group",0.557432265775886,0.997249052070718,FALSE,FALSE
"ASV_34","Streptococcus",0.556621989712459,0.997249052070718,FALSE,FALSE
"ASV_262","Lachnospiraceae UCG-008",-0.543419657609858,0.997249052070718,FALSE,FALSE
"ASV_15","Ruminococcus",0.483833114009116,0.997249052070718,FALSE,FALSE
"ASV_260","UBA1819",-0.438014011490314,0.997249052070718,FALSE,FALSE
"ASV_76","Romboutsia",0.433541525067347,0.997249052070718,FALSE,FALSE
"ASV_645","[Eubacterium] brachy group",0.42426817748384,0.997249052070718,FALSE,FALSE
"ASV_750","Gemella",-0.414784850094834,0.997249052070718,FALSE,FALSE
"ASV_354","Odoribacter",0.408513749431846,0.997249052070718,FALSE,FALSE
"ASV_49","[Eubacterium] hallii group",0.383005102379212,0.997249052070718,FALSE,FALSE
"ASV_69","Butyricicoccus",-0.37267808201263,0.997249052070718,FALSE,FALSE
"ASV_703","Fournierella",0.355553413343419,0.997249052070718,FALSE,FALSE
"ASV_2","Subdoligranulum",-0.346077365279046,0.997249052070718,FALSE,FALSE
"ASV_36","Phascolarctobacterium",-0.326401755755009,0.997249052070718,FALSE,FALSE
"ASV_817","Coprobacter",-0.310937668919577,0.997249052070718,FALSE,FALSE
"ASV_620","Papillibacter",0.285586978527611,0.997249052070718,FALSE,FALSE
"ASV_321","Enterococcus",-0.249694753858082,0.997249052070718,FALSE,FALSE
"ASV_22","[Ruminococcus] torques group",0.248125864795204,0.997249052070718,FALSE,FALSE
"ASV_904","Actinomyces",0.241567338511967,0.997249052070718,FALSE,FALSE
"ASV_38","Tyzzerella",0.230917419515729,0.997249052070718,FALSE,FALSE
"ASV_105","UCG-002",0.227166835699334,0.997249052070718,FALSE,FALSE
"ASV_409","Turicibacter",-0.195631476317577,0.997249052070718,FALSE,FALSE
"ASV_362","Holdemania",-0.186624379409384,0.997249052070718,FALSE,FALSE
"ASV_50","Lachnospiraceae NC2004 group",0.154843013212934,0.997249052070718,FALSE,FALSE
"ASV_371","Flavonifractor",-0.147237385109892,0.997249052070718,FALSE,FALSE
"ASV_149","Clostridium sensu stricto 1",0.115733242283092,0.997249052070718,FALSE,FALSE
"ASV_805","Christensenella",-0.0805967604082288,0.997249052070718,FALSE,FALSE
"ASV_39","CAG-56",0.0189781720068359,0.997249052070718,FALSE,FALSE
"ASV_126","[Eubacterium] ventriosum group",0.00370760512796664,0.997249052070718,FALSE,FALSE
